category,name,developer,description,image,tag,rating,rating_count,install_count
CRM,DocuSign,"DocuSign, inc.",DocuSign is the world's #1 way to sign electronically and it is now available as an easy to use monday.com app,https://dapulse-res.cloudinary.com/image/upload/v1646925395/monday-apps-marketplace/DocuSign/DocuSign_Square_Logo.png,Editor's choice,3.5,13,8.6K
CRM,Easyform,Easyapps,"Works like a monday form, just with tons of powerful extra features. Create forms that sync directly into monday, within seconds.",https://dapulse-res.cloudinary.com/image/upload/v1675367683/monday-apps-marketplace/EazyForm/v2/easyform-logo.png,,3.4,5,4.5K
CRM,Calendly Events,Ulgebra,Manage your Calendly appointments within monday.com by syncing your Calendly account with monday.com,https://dapulse-res.cloudinary.com/image/upload/v1658318727/monday-apps-marketplace/Calendly%20Events/calendly.png.png,,2.9,7,4.7K
CRM,Quickley,Quickley Inc,"Communicate with your prospects on WhatsApp, Facebook, Live Chat—from the convenience of monday.com.",https://dapulse-res.cloudinary.com/image/upload/v1625491778/monday-apps-marketplace/Quickly/App_Icon_1.png,,2.8,15,5.2K
CRM,Twilio Integration for monday.com,Ulgebra,Communicate with contacts and sync Twilio messages with monday.com boards.,https://dapulse-res.cloudinary.com/image/upload/v1678981690/monday-apps-marketplace/Twilio%20Integration%20for%20monday.com/app_icon_11.png,,2.8,4,466
CRM,PandaDoc,PandaDoc Inc.,"Create, track & send documents for eSignature in real-time - directly within your monday.com interface",https://dapulse-res.cloudinary.com/image/upload/v1619340376/monday-apps-marketplace/PandaDoc/PandaDoc.png,,2.5,4,5.2K
CRM,Cash Flow - Collection,Engini.ai LTD,Automate & manage invoice collection processes,https://dapulse-res.cloudinary.com/image/upload/v1636992133/monday-apps-marketplace/Cash%20Flow/Logo_192.png,,2.3,3,1.2K
CRM,Dashboard Hub for monday.com,Appfire,Create and share reporting dashboards with custom charts and formulas.,https://dapulse-res.cloudinary.com/image/upload/v1696150712/monday-apps-marketplace/Dashboard%20Hub/v2/Dashboard_Hub_logo.png,Editor's choice,,,1.6K
CRM,Pipedrive,Pipedrive,"Synchronize your Pipedrive account with monday.com to manage your deals, contacts and activities and convert them into workflows.",https://dapulse-res.cloudinary.com/image/upload/v1633009333/pipedrive/Pipedrive_192.png,,1,3,3.5K
CRM,Workday Automations & Holiday Calendar,Tower Apps Ltd,Public Holiday Calendar & Project Scheduling Automations,https://dapulse-res.cloudinary.com/image/upload/v1697996896/monday-apps-marketplace/Workday%20Automations/AppIcon.png,New,,,14
CRM,Advanced Item Link & Match,Fantasy Media LTD,The ultimate solution for cross-board item connections.,https://dapulse-res.cloudinary.com/image/upload/v1697994830/monday-apps-marketplace/Advanced%20Item%20Link/Match_Icon.png,New,,,11
CRM,Real Time Workflow Alerts,Fantasy Media LTD,Workflow alerts via notifications & email. Control work.,https://dapulse-res.cloudinary.com/image/upload/v1697378985/monday-apps-marketplace/Real%20Time%20Workflow%20Alerts/Icon_14.png,New,,,4
CRM,Wistia,Wistia,Leverage video in your marketing and project management workflows.,https://dapulse-res.cloudinary.com/image/upload/v1697025887/monday-apps-marketplace/Wistia/App_Icon_12.png,New,,,12
CRM,Org Chart,LeanyLabs OÜ,Visualize relations between the board items in a few clicks,https://dapulse-res.cloudinary.com/image/upload/v1696508467/monday-apps-marketplace/Org%20Chart/App_Icon-1.png,New,,,505
CRM,docutus,"OPRO Co., Ltd.",Create documents from monday.com using your templates.,https://dapulse-res.cloudinary.com/image/upload/v1695732305/monday-apps-marketplace/docotus/icon_1_2.png,New,,,66
CRM,Location Plus,Canary Apps LLC,Auto enrich your US street addresses with state & ZIP code,https://dapulse-res.cloudinary.com/image/upload/v1693325361/monday-apps-marketplace/Location%20Plus/app-logo.png,,,,10
CRM,Zoom Phone Integration for monday CRM,Get Report LLC,Start dialing with Zoom Phone directly from monday.com!,https://dapulse-res.cloudinary.com/image/upload/v1692895406/monday-apps-marketplace/Zoom%20phone%20Integration/zp_logo.png,,,,115
CRM,DocBuilder AI,Alayof Digital,The AI chatbot that creates any type of doc you want,https://dapulse-res.cloudinary.com/image/upload/v1692002974/monday-apps-marketplace/DocBuilder%20AI/Untitled_design_12.png,,,,84
CRM,Prospero Proposals,Prospero,Create beautiful proposals & documents with e-signature. 3X faster.,https://dapulse-res.cloudinary.com/image/upload/v1690466568/monday-apps-marketplace/Prospero%20Proposals/PROSPERO_Logo.png,,,,116
CRM,Date & Timeline Mutations,Simplified Workflows,This app expands the possibilities of what you can do with Date and Timeline columns.,https://dapulse-res.cloudinary.com/image/upload/v1690382017/monday-apps-marketplace/Date%20and%20Timeline%20Mutations/Date___Timeline_Mutations_App_Icon_1.png,,,,74
CRM,HubSpot by Appvibe,Appvibe,Integrate HubSpot contacts and forms into your monday workspace with a few easy steps.,https://dapulse-res.cloudinary.com/image/upload/v1694097321/monday-apps-marketplace/Google%20Slides%20Integration/hubspot.png,,,,115
CRM,RunGopher,Intellibot Trading Pty Ltd,"Send SMS automatically from monday, and let RunGopher drive conversations with AI",https://dapulse-res.cloudinary.com/image/upload/v1688044705/monday-apps-marketplace/RunGopher/rungopher-logo-red.png,,,,81
CRM,Currency Converter Pro,Currency Converter Pro,Convert any currency to another currency with Currency Converter Pro.,https://dapulse-res.cloudinary.com/image/upload/v1687786222/monday-apps-marketplace/Currency%20Converter%20Pro/App_Icon_7.jpg,,,,41
CRM,BoloForms Approvals,CLOSER INNOVATION LABS,Turn monday Items into interactive approval workflows and generate templated documents.,https://dapulse-res.cloudinary.com/image/upload/v1686558902/monday-apps-marketplace/BoloForms/BoloForms_Logo.png,,,,102
CRM,Chrome Extension for monday.com,Jetpack Apps,"Save tasks, Leads, Screenshots and more directly from Chrome and Gmail",https://dapulse-res.cloudinary.com/image/upload/v1684415315/monday-apps-marketplace/Offsite%20-%20Chrome%20Extension/mstoreicon.png,,,,853
CRM,Acuity Scheduling for monday.com,Ulgebra,"Easily schedule, access & manage all your appointments using Acuity Scheduling.",https://dapulse-res.cloudinary.com/image/upload/v1681912932/monday-apps-marketplace/Acuity%20Scheduling%20for%20monday.com/logo_5.png,,,,203
CRM,Date Check,Kolaai,Automatically update your dates based on public or custom defined holidays for users in your account,https://dapulse-res.cloudinary.com/image/upload/v1680185284/monday-apps-marketplace/Date%20Check/dateCheckLogo.png,,,,405
CRM,JustCall,SaaS Labs,JustCall provides a seamless integration with monday.com that automates Call and SMS logging.,https://dapulse-res.cloudinary.com/image/upload/v1678713502/monday-apps-marketplace/JustCall/justcall_logo_192x192.png,,,,606
CRM,Givebutter,Givebutter,"Raise more on Givebutter with fundraising pages, forms, and events, CRM, email & texts - all for free.",https://dapulse-res.cloudinary.com/image/upload/v1677659210/monday-apps-marketplace/GiveButter/Untitled_design-5.png,,,,303
CRM,Out-menu,Jetpack Apps,Easily create Quick links to any web page from your monday.com menu,https://dapulse-res.cloudinary.com/image/upload/v1674662224/monday-apps-marketplace/Out-Menu/Group_1261150959.png,,,,624
CRM,Mirror Magic: Numbers,Monday Man LLC,Give visibility to mirror columns without giving access to the rest of the connected board.,https://dapulse-res.cloudinary.com/image/upload/v1674135988/monday-apps-marketplace/Mirror%20Magic/Mirror_Magic_Icon.png,,,,417
CRM,Icons,Kolaai,Automatically assign icons to your items based on custom automations and integrations,https://dapulse-res.cloudinary.com/image/upload/v1673795375/monday-apps-marketplace/Icons/iconLogo.png,,,,58
CRM,Limits,Kolaai,"Limit groups with color changes and counters. Delete, move, archive excess items with status changes",https://dapulse-res.cloudinary.com/image/upload/v1673446410/monday-apps-marketplace/Limits/limitsLogo.png,,,,16
CRM,AGI - AI Virtual Assistant,AGAT Software Development LTD,Captures Meeting Highlights to increase productivity and efficiency in your meetings.,https://dapulse-res.cloudinary.com/image/upload/v1670517742/monday-apps-marketplace/AGI%20-%20AI%20Virtual%20Assistant/Virtual_Assistant_Logo_192x192.png,,,,191
CRM,SAP Integration,Eurotas,This integration app allows users to smoothly sync data from monday.com to SAP in user's daily work,https://dapulse-res.cloudinary.com/image/upload/v1683458399/monday-apps-marketplace/SAP%20Integration/Logo192-192.jpg,,,,125
CRM,SMS to Board,ElasticDay,The SMS Items app allows you to create new items from sms text messages in your monday.com boards,https://dapulse-res.cloudinary.com/image/upload/v1667810021/monday-apps-marketplace/SMS%20to%20board%20%28ElasticDay%29/App_Store_Icon.png,,,,701
CRM,Item to Document,Click On Ltd.,"Generates documents with your data, allows custom templates with your free design and images.",https://dapulse-res.cloudinary.com/image/upload/v1669568976/monday-apps-marketplace/ItemToDocument/icon-192-x192_1.png,,,,656
CRM,The Giving Block,The Giving Block,Subscribe to The Giving Block to accept crypto donations and get it in your monday.com board.,https://dapulse-res.cloudinary.com/image/upload/v1661175544/monday-apps-marketplace/The%20Giving%20Block/App_icon_1_2.png,,,,76
CRM,DonorSearch,DonorSearch,Enhance your fundraising goals by integrating DonorSearch’s premier prospect data into your CRM.,https://dapulse-res.cloudinary.com/image/upload/v1661263513/monday-apps-marketplace/DonorSearch/icon.jpg,,,,190
CRM,Google Forms Embedder,Presago,Add Google Forms anywhere in monday.com,https://dapulse-res.cloudinary.com/image/upload/v1660233496/monday-apps-marketplace/Google%20Forms%20Embedder/icona_3.png,,,,2.4K
CRM,Microsoft Forms Embedder,Presago,Add Microsoft Forms anywhere in monday.com,https://dapulse-res.cloudinary.com/image/upload/v1660233819/monday-apps-marketplace/Microsoft%20Forms%20Embedder/icona_2.png,,,,1.2K
CRM,Mermaid Charts and Diagrams,weweave UG (limited liability),"Easily embed different kind of charts and diagrams to your boards, items and workdocs!",https://dapulse-res.cloudinary.com/image/upload/v1659352410/monday-apps-marketplace/Mermaid%20Charts%20and%20Diagrams/Icon-192.png,,,,1.1K
CRM,Microsoft Power BI Embedded,David Simpson Apps,Effortlessly embed Microsoft Power BI dashboards and reports in monday.com.,https://dapulse-res.cloudinary.com/image/upload/v1656949816/monday-apps-marketplace/MICROSOFT%20POWER%20BI/microsoft-power-bi-app-icon-blue.png,,,,1.5K
CRM,Google Forms Embedded,David Simpson Apps,Effortlessly embed Google Forms in monday.com.,https://dapulse-res.cloudinary.com/image/upload/v1656948380/monday-apps-marketplace/Google%20Forms%20Embedded/google-forms-app-icon-blue.png,,,,3.3K
CRM,Genesys Cloud Connector,Protiviti Member Firm Peru S.A.C.,"Thanks to ""Genesys Cloud Connector by Protiviti"" integration, now, you are able to schedule callback",https://dapulse-res.cloudinary.com/image/upload/v1656861421/monday-apps-marketplace/Genesys%20Cloud/OP02.png,,,,127
CRM,Dropcontact by iNet Process,iNet Process,Enrich and find business emails of all your B2B contacts and companies automatically.,https://dapulse-res.cloudinary.com/image/upload/v1654525653/monday-apps-marketplace/DropContact/icone-dropcontact-marketplace.png,,,,103
CRM,Auto Connect,Omnitas Consulting AB,Auto Connect is automatically linking items across multiple boards.,https://dapulse-res.cloudinary.com/image/upload/v1653838221/monday-apps-marketplace/Auto%20Connect/icon192.png,,,,744
CRM,MoceanAPI SMS,Micro Ocean Technologies Sdn Bhd,"Send, receive and automate text messages or SMS and WhatsApp within monday.com",https://dapulse-res.cloudinary.com/image/upload/v1649337500/monday-apps-marketplace/MoceanAPI/mocean-logo.jpg,,,,760
CRM,Paysaro,Kolaai,"Paysaro enables you to create invoices, quotes, estimates, etc using items right from your boards.",https://dapulse-res.cloudinary.com/image/upload/v1646666098/monday-apps-marketplace/Paysaro/Paysaro192.png,,,,1.5K
CRM,Set Relative Timeline,Excellent Team,Set Relative Timeline lets you define a timeline that will be set at a later time (when triggered),https://dapulse-res.cloudinary.com/image/upload/v1644507418/monday-apps-marketplace/Set%20Relative%20Timeline/Set_Relative_Timeline_logo_1.png,,,,452
CRM,Sync Subitem Timeline,Excellent Team,Keep start + end Date columns in sync with your Timeline column within the subitems (or visa versa).,https://dapulse-res.cloudinary.com/image/upload/v1643639219/monday-apps-marketplace/Sync%20Subitems%20Timeline/Sync_Subitem_Timeline_logo.png,,,,335
CRM,Delayed Status Change,Excellent Team,When a status change to something and a configurable timer expires change status to something.,https://dapulse-res.cloudinary.com/image/upload/v1637165295/monday-apps-marketplace/Delayed%20Status%20Change/Delayed_Status_Change_logo.png,,,,171
CRM,AutoID Subitems,Excellent Team,AutoID Subitems let you configure a highly customizable auto increment ID for subitems,https://dapulse-res.cloudinary.com/image/upload/v1635778465/monday-apps-marketplace/AutoID%20Subitems/AutoID_Subitems_logo_1.png,,,,309
CRM,Beautiful.ai,Beautiful.ai,Create stunning presentations in minutes. No design skills needed.,https://dapulse-res.cloudinary.com/image/upload/v1633955751/Beautiful%20ai/App_icon_1_1.png,,,,4.1K
CRM,eMaps,Eligeo Business Solutions,Route planning from a monday.com dashboard,https://dapulse-res.cloudinary.com/image/upload/v1621877703/monday-apps-marketplace/Eligo/eMAPS/eMAPS_Icon.png,,,,2.8K
CRM,eCRM,Eligeo Business Solutions,Customer Relationship Management tool to be used on a monday.com Dashboard,https://dapulse-res.cloudinary.com/image/upload/v1621876880/monday-apps-marketplace/Eligo/eCRM/eCRM_icon_1.png,,,,7K
CRM,Freshdesk,Freshworks,"Connect your support team to your product, engineering and sales teams and streamline customer requests to your team.",https://dapulse-res.cloudinary.com/image/upload/v1618386508/monday-apps-marketplace/Freshdesk/Freshdesk_logo.png,,,,1.7K
CRM,Luxie Tech for Xero,Luxie Tech,"Connect the power of monday.com with Xero to automate your invoicing, payroll and contacts.",https://dapulse-res.cloudinary.com/image/upload/v1612283572/monday-apps-marketplace/Xero/App_Icon-01.jpg,,,,1.2K
CRM,Funnels,Omnitas Consulting AB,Funnels and Tree/Journey diagrams for sales and marketing,https://dapulse-res.cloudinary.com/image/upload/v1612270481/monday-apps-marketplace/Funnels/logo_192.png,,,,1.7K
CRM,Formito,Formito,Turn your board into a chatbot and collect responses,https://dapulse-res.cloudinary.com/image/upload/v1610553023/monday-apps-marketplace/Formito/logo_2.png,,,,1.9K
CRM,Bottlenecks,Serandibsoft,Easily identify bottlenecks in your projects and see who's performing well.,https://dapulse-res.cloudinary.com/image/upload/v1609686916/monday-apps-marketplace/Bottelnecks/icon_1.png,,,,2.6K
CRM,GeoQuotes,Eligeo Business Solutions,"GeoQuotes is a freemium quoting tool with products, templates and sales tracking built for monday.com",https://dapulse-res.cloudinary.com/image/upload/v1606665784/monday-apps-marketplace/eQuotes/AppIcon.png,,,,4.8K
CRM,Glances,glances.com,"Your go-to hub for customer insights from all your workplace apps: QuickBooks, Pipedrive, Hubspot, Xero, Stripe, Mailchimp, and more.",https://dapulse-res.cloudinary.com/image/upload/v1603721313/monday-apps-marketplace/Glances%20-%20A%20Simplified%20Customer%20View/icon_1.png,,,,787
CRM,Mailchimp,monday.com,"Manage your campaigns from one place, sync leads and subscribers, get notifications and stats on sent campaigns.",https://dapulse-res.cloudinary.com/image/upload/v1603654787/monday-apps-marketplace/Apps%20By%20Monday/integrations/Mailchimp/Icon.jpg,,,,
CRM,OP.Sign Digital e-Signature,Pangolin Labs LTD,OP. enables every team to digitally sign off on everything and instantly create agreements when and where they are needed,https://dapulse-res.cloudinary.com/image/upload/v1602713548/monday-apps-marketplace/OPSign/OP.Sign_Icon.png,,,,4.9K
Marketing,SuperMail,Spot-nik,"Design automated emails with rich text, hyperlinks and attached files, directly from monday.com",https://dapulse-res.cloudinary.com/image/upload/v1688031637/monday-apps-marketplace/SuperMail/LOGO_BLUE.jpg,,5,12,1.3K
Marketing,PageProof,PageProof,Add powerful online proofing to monday.com. Robust review & approval workflows.,https://dapulse-res.cloudinary.com/image/upload/v1612777491/monday-apps-marketplace/Pageproof/Monday.com_app_icon_192px_x_192px.png,,4.9,9,2K
Marketing,Recurring Tasks,Adaptavist,Create and schedule recurring tasks in your monday.com boards.,https://dapulse-res.cloudinary.com/image/upload/v1681738397/monday-apps-marketplace/Reccuring%20Tasks/RT_App_icon.png,Editor's choice,4,4,5.8K
Marketing,Filestage,Filestage GmBH,"Streamline feedback, collaborate monday.com, finish faster",https://dapulse-res.cloudinary.com/image/upload/v1693918197/monday-apps-marketplace/Filestage/Filestage_logo_1.png,New,5,4,104
Marketing,Approval & Feedback,b-lab,This app allows anyone to preview specific fields in your boards' items (including images) and make updates accordingly.,https://dapulse-res.cloudinary.com/image/upload/v1685977050/monday-apps-marketplace/Approval%20and%20Feedback/APR_icon_192x192.png,,5,3,192
Marketing,Priority Pro,Kolekti (part of The Adaptavist Group),Prioritise and visualise important work more efficiently using a Priority Matrix on monday,https://dapulse-res.cloudinary.com/image/upload/v1683110178/monday-apps-marketplace/Priority%20Pro/Priority_pro_full_logo_Black.png,,5,3,515
Marketing,BuzzCount for YouTube,Matrix Apps Team,"A simple, user-friendly way to track all of your YouTube data in one place.",https://dapulse-res.cloudinary.com/image/upload/v1659871849/monday-apps-marketplace/Buzzcount/buzz_icon.png,,5,3,262
Marketing,Microsoft Power BI Embedder,Presago,Add Microsoft Power BI reports and scorecards anywhere in monday.com,https://dapulse-res.cloudinary.com/image/upload/v1659366133/monday-apps-marketplace/Microsoft%20Power%20BI%20Embedder/icon_3.png,,5,3,1.6K
Marketing,Ziflow,Ziflow LTD,"Easily share, review & track feedback on videos, images, documents and other creative assets.",https://dapulse-res.cloudinary.com/image/upload/v1638457655/monday-apps-marketplace/Ziflow/App_Icon_2.png,,4.9,28,920
Marketing,Jotform,Jotform,Create powerful forms with Jotform and automatically sync data to your monday.com boards,https://dapulse-res.cloudinary.com/image/upload/v1635325773/monday-apps-marketplace/JotForm/v2/jotform_symbol_w_13.png,,4.8,4,5.8K
Marketing,Miro,Miro,Bring visual collaboration to projects with Miro for monday.com,https://dapulse-res.cloudinary.com/image/upload/v1603221669/monday-apps-marketplace/Miro/icon.png,Editor's choice,4.5,8,23.3K
Marketing,Supermetrics,Supermetrics Oy,Supermetrics automatically pulls data from your marketing sources directly into monday.com,https://dapulse-res.cloudinary.com/image/upload/v1658152087/monday-apps-marketplace/SuperMetrics/supermetrics-icon_192x192_1.png,,3.8,9,2.7K
Marketing,Typeform,Typeform,"Easily build interactive and customized forms from your boards, and start collecting data instantly",https://dapulse-res.cloudinary.com/image/upload/v1611234929/monday-apps-marketplace/Typeform/icon%20v2/Typeform_Social_logo_192.png,,3.8,5,5.6K
Marketing,Easyform,Easyapps,"Works like a monday form, just with tons of powerful extra features. Create forms that sync directly into monday, within seconds.",https://dapulse-res.cloudinary.com/image/upload/v1675367683/monday-apps-marketplace/EazyForm/v2/easyform-logo.png,,3.4,5,4.5K
Marketing,Quickley,Quickley Inc,"Communicate with your prospects on WhatsApp, Facebook, Live Chat—from the convenience of monday.com.",https://dapulse-res.cloudinary.com/image/upload/v1625491778/monday-apps-marketplace/Quickly/App_Icon_1.png,,2.8,15,5.2K
Marketing,Canva Embedded,Collabsoft,"Share the latest version of your Canva designs with your team, right inside of monday.com!",https://dapulse-res.cloudinary.com/image/upload/v1658235687/monday-apps-marketplace/Canva%20Embedded/Canva_Embedded_-_Logo_Export.png,Editor's choice,2.8,8,10.9K
Marketing,Twilio Integration for monday.com,Ulgebra,Communicate with contacts and sync Twilio messages with monday.com boards.,https://dapulse-res.cloudinary.com/image/upload/v1678981690/monday-apps-marketplace/Twilio%20Integration%20for%20monday.com/app_icon_11.png,,2.8,4,466
Marketing,Coupler.io,"Railsware Products Studio, LLC",Connect all your marketing data for automated reports,https://dapulse-res.cloudinary.com/image/upload/v1698598556/monday-apps-marketplace/Coupler.io/2._App_icon.png,New,,,5
Marketing,Docs to Sites by Sundae,Crazy Ant Labs LLC,"Create wikis, help centers, blogs & websites with monday.com docs.",https://dapulse-res.cloudinary.com/image/upload/v1698146862/monday-apps-marketplace/Docs%20to%20Site%20by%20Sandae/192x192_2.png,New,,,15
Marketing,Advanced Item Link & Match,Fantasy Media LTD,The ultimate solution for cross-board item connections.,https://dapulse-res.cloudinary.com/image/upload/v1697994830/monday-apps-marketplace/Advanced%20Item%20Link/Match_Icon.png,New,,,11
Marketing,SharePoint Connector for monday CRM,Get Report LLC,Preview documents on the board or ticket for a quick access!,https://dapulse-res.cloudinary.com/image/upload/v1697459023/monday-apps-marketplace/Sharepoint%20Connector%20%28GetReport%29/sharepoint_logo.png,New,,,30
Marketing,Wistia,Wistia,Leverage video in your marketing and project management workflows.,https://dapulse-res.cloudinary.com/image/upload/v1697025887/monday-apps-marketplace/Wistia/App_Icon_12.png,New,,,12
Marketing,Formula in Automation Recipes,Formula Lookout,"Advanced automation recipes, covering hundreds of unique use cases",https://dapulse-res.cloudinary.com/image/upload/v1697729100/monday-apps-marketplace/Formula%20Caster/v2/Untitled_192_x_192_px.png,New,,,99
Marketing,Better Calendar View,SpicyTab,"It's just a better calendar view, you know?",https://dapulse-res.cloudinary.com/image/upload/v1694004447/monday-apps-marketplace/Better%20Calendar%20View/App-Icon_11.png,New,,,331
Marketing,Location Plus,Canary Apps LLC,Auto enrich your US street addresses with state & ZIP code,https://dapulse-res.cloudinary.com/image/upload/v1693325361/monday-apps-marketplace/Location%20Plus/app-logo.png,,,,10
Marketing,Zoom Phone Integration for monday CRM,Get Report LLC,Start dialing with Zoom Phone directly from monday.com!,https://dapulse-res.cloudinary.com/image/upload/v1692895406/monday-apps-marketplace/Zoom%20phone%20Integration/zp_logo.png,,,,115
Marketing,HubSpot by Appvibe,Appvibe,Integrate HubSpot contacts and forms into your monday workspace with a few easy steps.,https://dapulse-res.cloudinary.com/image/upload/v1694097321/monday-apps-marketplace/Google%20Slides%20Integration/hubspot.png,,,,115
Marketing,DocX Templater,LeanyLabs OÜ,Generate professional documents from your monday.com board.,https://dapulse-res.cloudinary.com/image/upload/v1689685101/monday-apps-marketplace/DocX%20Templater/App_Icon_1_3.png,,,,191
Marketing,RunGopher,Intellibot Trading Pty Ltd,"Send SMS automatically from monday, and let RunGopher drive conversations with AI",https://dapulse-res.cloudinary.com/image/upload/v1688044705/monday-apps-marketplace/RunGopher/rungopher-logo-red.png,,,,81
Marketing,Currency Converter Pro,Currency Converter Pro,Convert any currency to another currency with Currency Converter Pro.,https://dapulse-res.cloudinary.com/image/upload/v1687786222/monday-apps-marketplace/Currency%20Converter%20Pro/App_Icon_7.jpg,,,,41
Marketing,TimesheetsPro,Work Perfect Group,Track & visualise your time in a whole new way.,https://dapulse-res.cloudinary.com/image/upload/v1687767667/TimesheetsPro/Tpro_Marketplace_logo.png,,,,1.1K
Marketing,Adobe Experience Manager Integration,"CapabilityBlox, Inc.",Allows seamless synchronization of assets between monday.com and Adobe Experience Manager.,https://dapulse-res.cloudinary.com/image/upload/v1683712321/monday-apps-marketplace/Adobe%20Experience%20Manager%20Integration/icon_10.png,,,,24
Marketing,Figma Integration,Appvibe,Embed Figma projects in your monday.com board view and see live updates with this app.,https://dapulse-res.cloudinary.com/image/upload/v1694097515/monday-apps-marketplace/Google%20Slides%20Integration/figma.png,,,,261
Marketing,Shopify Integration,Keem Apps,The app integrates monday.com with Shopify which enables the management of Shop data in monday.com,https://dapulse-res.cloudinary.com/image/upload/v1681658101/monday-apps-marketplace/Shopify%20Integration/Untitled_design_13.png,,,,458
Marketing,Google Translate for Workdocs,SpicyTab,Translate your Workdocs to any language with a click of a button!,https://dapulse-res.cloudinary.com/image/upload/v1678983719/monday-apps-marketplace/Google%20Translate%20for%20Workdocs/App-Icon_9.png,,,,364
Marketing,Universal Embedder,Easyapps,Embed any publicly available link directly inside monday.,https://dapulse-res.cloudinary.com/image/upload/v1678715448/monday-apps-marketplace/Universal%20Embedder/easyapps-logo-192px.png,,,,1.7K
Marketing,Bynder View,monday AGP,Connect your digital assets from Bynder directly to your marketing workflows on monday.com Work OS.,https://dapulse-res.cloudinary.com/image/upload/v1678710959/monday-apps-marketplace/Bynder%20View/App_icon_6_1.png,,,,105
Marketing,Givebutter,Givebutter,"Raise more on Givebutter with fundraising pages, forms, and events, CRM, email & texts - all for free.",https://dapulse-res.cloudinary.com/image/upload/v1677659210/monday-apps-marketplace/GiveButter/Untitled_design-5.png,,,,303
Marketing,PDF Modifier,Blinno GmbH,File manipulation made easy! Merge and split PDFs right in your monday.com board.,https://dapulse-res.cloudinary.com/image/upload/v1677072300/monday-apps-marketplace/PDF%20modifier/PDF_Modifier_2.0__1SaaS_Icon.png,,,,92
